question_id,gold_is_table,gold_norm_len,armB_blocks,armB_contig_at_best_blocks,armB_scatter_gap,armB_scattered,source_file,page_number
Q066,False,353,0.7054,0.7054,0.0,False,circular_air_safety_2024_01_mitigation.pdf,4
Q067,False,385,0.813,0.4,0.413,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,26
Q068,False,401,0.6509,0.6509,0.0,False,circular_aircraft_eng_2024_01_advisory.pdf,5
Q069,False,389,0.9126,0.9126,0.0,False,icao_environment_report.pdf,235
Q070,False,415,0.8723,0.8723,0.0,False,car_s2_i_p5_flight_data_recorders.pdf,19
Q071,False,360,0.975,0.975,0.0,False,circular_air_nav_2024_01_installation.pdf,3
Q072,False,356,0.6826,0.6826,0.0,False,car_s2_t_p2_flight_testing.pdf,8
Q073,False,384,0.7812,0.7812,0.0,False,car_s2_l_car66_maintenance_engineer_licensing.pdf,22
Q074,False,209,0.7847,0.7847,0.0,False,icao_environment_report.pdf,372
Q075,False,428,0.6636,0.6636,0.0,False,car_s2_e_car145_maintenance_org_2025.pdf,127
Q076,False,255,0.9294,0.9294,0.0,False,aic_2025_12_tariff_noida_nia.pdf,4
Q077,False,405,0.6469,0.6469,0.0,False,car_s2_f_p7_special_flight_permits.pdf,3
Q078,False,402,0.791,0.791,0.0,False,icao_doc9859_safety_management_manual.pdf,115
Q079,False,352,0.8267,0.8267,0.0,False,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,17
Q080,False,367,1.0,1.0,0.0,False,icao_environment_report.pdf,130
