pool,qid,stratum,arm,mode,t,recall10,mrr10,ndcg10,n_rel_in_arm,reachable,union10_hit,page_hit,first_rank,best_cov_top10
FRESH,T005,table,B,sparse,0.7,0,0.0,0.0,1,1,0,1,0,0.24
FRESH,T005,table,B,sparse,0.8,0,0.0,0.0,1,1,0,1,0,0.24
FRESH,T007,table,A,hybrid,0.4,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,hybrid,0.5,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,hybrid,0.6,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,hybrid,0.7,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,hybrid,0.8,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,dense,0.4,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,dense,0.5,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,dense,0.6,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,dense,0.7,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,dense,0.8,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,sparse,0.4,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,sparse,0.5,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,sparse,0.6,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,sparse,0.7,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,A,sparse,0.8,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T007,table,B,hybrid,0.4,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,hybrid,0.5,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,hybrid,0.6,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,hybrid,0.7,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,hybrid,0.8,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,dense,0.4,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,dense,0.5,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,dense,0.6,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,dense,0.7,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,dense,0.8,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,sparse,0.4,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,sparse,0.5,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,sparse,0.6,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,sparse,0.7,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T007,table,B,sparse,0.8,1,0.5,0.6309297535714575,1,1,1,1,2,1.0
FRESH,T008,table,A,hybrid,0.4,0,0.0,0.0,3,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,hybrid,0.5,0,0.0,0.0,3,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,hybrid,0.6,0,0.0,0.0,2,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,hybrid,0.7,0,0.0,0.0,1,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,hybrid,0.8,0,0.0,0.0,1,1,0,0,0,0.3333333333333333
FRESH,T008,table,A,dense,0.4,0,0.0,0.0,3,1,1,0,0,0.2
FRESH,T008,table,A,dense,0.5,0,0.0,0.0,3,1,1,0,0,0.2
FRESH,T008,table,A,dense,0.6,0,0.0,0.0,2,1,1,0,0,0.2
FRESH,T008,table,A,dense,0.7,0,0.0,0.0,1,1,0,0,0,0.2
FRESH,T008,table,A,dense,0.8,0,0.0,0.0,1,1,0,0,0,0.2
FRESH,T008,table,A,sparse,0.4,0,0.0,0.0,3,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,sparse,0.5,0,0.0,0.0,3,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,sparse,0.6,0,0.0,0.0,2,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,sparse,0.7,0,0.0,0.0,1,1,1,0,0,0.3333333333333333
FRESH,T008,table,A,sparse,0.8,0,0.0,0.0,1,1,1,0,0,0.3333333333333333
FRESH,T008,table,B,hybrid,0.4,1,1.0,0.27487633291429087,7,1,1,1,1,1.0
FRESH,T008,table,B,hybrid,0.5,1,1.0,0.27487633291429087,7,1,1,1,1,1.0
FRESH,T008,table,B,hybrid,0.6,1,1.0,0.6131471927654584,2,1,1,1,1,1.0
FRESH,T008,table,B,hybrid,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T008,table,B,hybrid,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T008,table,B,dense,0.4,1,1.0,0.27487633291429087,7,1,1,1,1,1.0
FRESH,T008,table,B,dense,0.5,1,1.0,0.27487633291429087,7,1,1,1,1,1.0
FRESH,T008,table,B,dense,0.6,1,1.0,0.6131471927654584,2,1,1,1,1,1.0
FRESH,T008,table,B,dense,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T008,table,B,dense,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T008,table,B,sparse,0.4,1,1.0,0.27487633291429087,7,1,1,1,1,1.0
FRESH,T008,table,B,sparse,0.5,1,1.0,0.27487633291429087,7,1,1,1,1,1.0
FRESH,T008,table,B,sparse,0.6,1,1.0,0.6131471927654584,2,1,1,1,1,1.0
FRESH,T008,table,B,sparse,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T008,table,B,sparse,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,hybrid,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,hybrid,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,hybrid,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,hybrid,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,hybrid,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,dense,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,dense,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,dense,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,dense,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,dense,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,sparse,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,sparse,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,sparse,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,sparse,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,A,sparse,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,hybrid,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,hybrid,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,hybrid,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,hybrid,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,hybrid,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,dense,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,dense,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,dense,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,dense,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,dense,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,sparse,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,sparse,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,sparse,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,sparse,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T011,table,B,sparse,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,A,hybrid,0.4,0,0.0,0.0,1,1,1,0,0,0.29545454545454547
FRESH,T012,table,A,hybrid,0.5,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,hybrid,0.6,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,hybrid,0.7,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,hybrid,0.8,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,dense,0.4,0,0.0,0.0,1,1,1,0,0,0.29545454545454547
FRESH,T012,table,A,dense,0.5,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,dense,0.6,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,dense,0.7,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,dense,0.8,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,sparse,0.4,0,0.0,0.0,1,1,1,0,0,0.29545454545454547
FRESH,T012,table,A,sparse,0.5,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,sparse,0.6,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,sparse,0.7,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,A,sparse,0.8,0,0.0,0.0,1,1,0,0,0,0.29545454545454547
FRESH,T012,table,B,hybrid,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,hybrid,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,hybrid,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,hybrid,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,hybrid,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,dense,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,dense,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,dense,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,dense,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,dense,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,sparse,0.4,1,1.0,1.0,1,1,1,1,1,1.0
