question_id,gold_is_table,category,source_file,page_number,gold_norm_len,armA_n,armA_contig,armA_blocks,armA_contig_at_best_blocks,armA_union_contig,armB_n,armB_contig,armB_blocks,armB_contig_at_best_blocks,armB_union_contig,armB_scatter_gap,armB_scattered,fits_in_armB,fits_in_armA
Q035,True,procedural,icao_environment_report.pdf,477,369,13,1.0,1.0,1.0,1.0,12,0.8266,0.8266,0.8266,1.0,0.0,False,True,True
Q036,True,cross_document,circular_air_safety_2023_01_flight_data_analysis.pdf,17,120,2,1.0,1.0,1.0,1.0,6,0.9,0.9583,0.9,1.0,0.0583,False,True,True
Q037,True,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,148,209,2,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,0.0,False,True,True
Q038,True,numerical,circular_flight_crew_2025_01_medical.pdf,6,695,5,1.0,1.0,1.0,1.0,8,0.446,0.446,0.446,1.0,0.0,False,False,True
Q039,True,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,138,326,3,1.0,1.0,1.0,1.0,7,0.5153,0.5153,0.5153,1.0,0.0,False,True,True
Q040,True,cross_document,car_s2_e_car145_maintenance_org_2025.pdf,159,1079,3,1.0,1.0,1.0,1.0,5,0.3698,0.3698,0.3698,1.0,0.0,False,False,True
Q041,False,direct_regulation,icao_environment_report.pdf,288,427,14,1.0,1.0,1.0,1.0,10,0.7447,0.7447,0.7447,1.0,0.0,False,True,True
Q042,False,numerical,icao_environment_report.pdf,163,415,9,1.0,1.0,1.0,1.0,7,0.7446,0.7446,0.7446,1.0,0.0,False,True,True
Q043,False,procedural,icao_environment_report.pdf,287,426,8,1.0,1.0,1.0,1.0,6,0.6901,0.6901,0.6901,1.0,0.0,False,True,True
Q044,False,cross_document,car_s2_l_car66_maintenance_engineer_licensing.pdf,154,384,9,1.0,1.0,1.0,1.0,9,0.638,0.638,0.638,1.0,0.0,False,True,True
Q045,False,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,53,402,8,1.0,1.0,1.0,1.0,7,0.592,0.592,0.592,1.0,0.0,False,True,True
Q046,False,numerical,car_s2_e_car145_maintenance_org_2025.pdf,29,275,6,1.0,1.0,1.0,1.0,6,0.8109,0.8109,0.8109,1.0,0.0,False,True,True
Q047,False,procedural,car_s2_e_car145_maintenance_org_2025.pdf,99,281,6,1.0,1.0,1.0,1.0,5,0.7794,0.7794,0.7794,1.0,0.0,False,True,True
Q048,False,cross_document,car_s2_e_car145_maintenance_org_2025.pdf,114,424,8,1.0,1.0,1.0,1.0,7,0.9976,0.9976,0.9976,1.0,0.0,False,True,True
Q049,False,direct_regulation,car_s2_i_p5_flight_data_recorders.pdf,6,382,6,1.0,1.0,1.0,1.0,7,0.6832,0.6832,0.6832,1.0,0.0,False,True,True
Q050,False,numerical,icao_environment_report.pdf,413,253,10,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,0.0,False,True,True
Q051,False,procedural,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,34,290,6,1.0,1.0,1.0,1.0,5,0.8586,0.8586,0.8586,1.0,0.0,False,True,True
