question_id,gold_is_table,category,source_file,page_number,gold_norm_len,armA_n_page_chunks,armA_best_chunk_cov,armA_union_page_cov,armB_page_fallback_used,armB_n_page_chunks,armB_best_chunk_cov,armB_union_page_cov
Q052,False,cross_document,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,40,409,6,1.0,1.0,,6,0.8631,1.0
Q053,False,direct_regulation,icao_doc9859_safety_management_manual.pdf,125,424,10,1.0,1.0,,9,0.842,1.0
Q054,False,numerical,icao_environment_report.pdf,278,364,6,1.0,1.0,,6,0.7555,1.0
Q055,False,procedural,icao_doc9859_safety_management_manual.pdf,26,405,7,1.0,1.0,,6,0.8593,1.0
Q056,False,cross_document,icao_doc9859_safety_management_manual.pdf,98,419,13,1.0,1.0,,11,0.7685,1.0
Q057,False,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,108,336,7,1.0,1.0,,5,0.9881,1.0
Q058,False,numerical,icao_environment_report.pdf,202,181,3,1.0,1.0,,5,1.0,1.0
Q059,False,procedural,icao_doc9859_safety_management_manual.pdf,101,404,11,1.0,1.0,,11,0.8614,1.0
Q060,False,cross_document,icao_environment_report.pdf,341,194,8,1.0,1.0,,7,1.0,1.0
Q061,False,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,54,242,8,1.0,1.0,,6,1.0,1.0
Q062,False,numerical,icao_environment_report.pdf,165,313,14,1.0,1.0,,11,0.7987,1.0
Q063,False,procedural,icao_environment_report.pdf,98,418,7,1.0,1.0,,7,0.9163,1.0
Q064,False,cross_document,icao_environment_report.pdf,231,409,7,1.0,1.0,,7,0.6161,1.0
Q065,False,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,74,413,6,1.0,1.0,,5,0.7215,1.0
Q066,False,numerical,circular_air_safety_2024_01_mitigation.pdf,4,353,6,1.0,1.0,,5,0.7054,1.0
Q067,False,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,26,385,8,1.0,1.0,,7,0.813,1.0
Q068,False,cross_document,circular_aircraft_eng_2024_01_advisory.pdf,5,401,7,1.0,1.0,,7,0.6509,1.0
Q069,False,direct_regulation,icao_environment_report.pdf,235,389,8,1.0,1.0,,8,0.9126,1.0
Q070,False,numerical,car_s2_i_p5_flight_data_recorders.pdf,19,415,6,1.0,1.0,,5,0.8723,1.0
Q071,False,procedural,circular_air_nav_2024_01_installation.pdf,3,360,6,1.0,1.0,,5,0.975,1.0
Q072,False,cross_document,car_s2_t_p2_flight_testing.pdf,8,356,7,1.0,1.0,,6,0.6826,1.0
Q073,False,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,22,384,8,1.0,1.0,,8,0.7812,1.0
Q074,False,numerical,icao_environment_report.pdf,372,209,9,1.0,1.0,,10,0.7847,1.0
Q075,False,procedural,car_s2_e_car145_maintenance_org_2025.pdf,127,428,9,1.0,1.0,,7,0.6636,1.0
Q076,False,cross_document,aic_2025_12_tariff_noida_nia.pdf,4,255,4,1.0,1.0,,6,0.9294,1.0
Q077,False,direct_regulation,car_s2_f_p7_special_flight_permits.pdf,3,405,7,1.0,1.0,,6,0.6469,1.0
Q078,False,numerical,icao_doc9859_safety_management_manual.pdf,115,402,9,1.0,1.0,,8,0.791,1.0
Q079,False,procedural,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,17,352,7,1.0,1.0,,6,0.8267,1.0
Q080,False,cross_document,icao_environment_report.pdf,130,367,5,1.0,1.0,,3,1.0,1.0
